macAddress,timeEslapsed,RSSI, ratioRSSI, calculatedDistance, mydistance, realDistance
D9:C0:35:1C:55:5A,815,-55,0.714285714,0.05,0.01,0.1
D9:C0:35:1C:55:5A,1958,-56,0.727272727,0.05,0.01,0.1
D9:C0:35:1C:55:5A,3113,-54,0.701298701,0.05,0.01,0.1
D9:C0:35:1C:55:5A,4249,-57,0.74025974,0.05,0.01,0.1
D9:C0:35:1C:55:5A,5421,-55,0.714285714,0.05,0.01,0.1
D9:C0:35:1C:55:5A,6615,-58,0.753246753,0.05,0.01,0.1
D9:C0:35:1C:55:5A,7747,-55,0.714285714,0.05,0.01,0.1
D9:C0:35:1C:55:5A,8896,-58,0.753246753,0.05,0.01,0.1
D9:C0:35:1C:55:5A,10083,-54,0.701298701,0.05,0.01,0.1
D9:C0:35:1C:55:5A,11190,-53,0.688311688,0.04,0.01,0.1
D9:C0:35:1C:55:5A,12317,-52,0.675324675,0.04,0.01,0.1
D9:C0:35:1C:55:5A,13495,-55,0.714285714,0.04,0.01,0.1
D9:C0:35:1C:55:5A,14609,-56,0.727272727,0.04,0.01,0.1
D9:C0:35:1C:55:5A,15742,-58,0.753246753,0.04,0.01,0.1
D9:C0:35:1C:55:5A,16910,-57,0.74025974,0.04,0.01,0.1
D9:C0:35:1C:55:5A,18110,-58,0.753246753,0.04,0.01,0.1
D9:C0:35:1C:55:5A,19255,-57,0.74025974,0.04,0.01,0.1
D9:C0:35:1C:55:5A,20409,-53,0.688311688,0.04,0.01,0.1
D9:C0:35:1C:55:5A,21566,-53,0.688311688,0.04,0.01,0.1
D9:C0:35:1C:55:5A,22684,-54,0.701298701,0.04,0.01,0.1
D9:C0:35:1C:55:5A,23809,-53,0.688311688,0.04,0.01,0.1
D9:C0:35:1C:55:5A,24964,-53,0.688311688,0.04,0.01,0.1
D9:C0:35:1C:55:5A,26109,-56,0.727272727,0.03,0.01,0.1
D9:C0:35:1C:55:5A,27213,-59,0.766233766,0.03,0.01,0.1
D9:C0:35:1C:55:5A,28349,-54,0.701298701,0.03,0.01,0.1
D9:C0:35:1C:55:5A,29480,-53,0.688311688,0.03,0.01,0.1
D9:C0:35:1C:55:5A,30607,-59,0.766233766,0.03,0.01,0.1
D9:C0:35:1C:55:5A,31754,-53,0.688311688,0.03,0.01,0.1
D9:C0:35:1C:55:5A,32886,-55,0.714285714,0.03,0.01,0.1
D9:C0:35:1C:55:5A,34019,-54,0.701298701,0.03,0.01,0.1
D9:C0:35:1C:55:5A,35183,-54,0.701298701,0.03,0.01,0.1
D9:C0:35:1C:55:5A,36340,-57,0.74025974,0.03,0.01,0.1
D9:C0:35:1C:55:5A,37453,-54,0.701298701,0.03,0.01,0.1
D9:C0:35:1C:55:5A,38586,-57,0.74025974,0.03,0.01,0.1
D9:C0:35:1C:55:5A,39740,-54,0.701298701,0.03,0.01,0.1
D9:C0:35:1C:55:5A,40875,-58,0.753246753,0.03,0.01,0.1
D9:C0:35:1C:55:5A,42032,-58,0.753246753,0.03,0.01,0.1
D9:C0:35:1C:55:5A,43199,-57,0.74025974,0.04,0.01,0.1
D9:C0:35:1C:55:5A,44352,-56,0.727272727,0.04,0.01,0.1
D9:C0:35:1C:55:5A,45496,-55,0.714285714,0.04,0.01,0.1
D9:C0:35:1C:55:5A,46644,-58,0.753246753,0.04,0.01,0.1
D9:C0:35:1C:55:5A,47785,-56,0.727272727,0.04,0.01,0.1
D9:C0:35:1C:55:5A,48939,-57,0.74025974,0.04,0.01,0.1
D9:C0:35:1C:55:5A,50074,-54,0.701298701,0.04,0.01,0.1
D9:C0:35:1C:55:5A,51203,-51,0.662337662,0.04,0.01,0.1
D9:C0:35:1C:55:5A,52352,-51,0.662337662,0.04,0.01,0.1
D9:C0:35:1C:55:5A,53471,-51,0.662337662,0.04,0.01,0.1
D9:C0:35:1C:55:5A,54604,-51,0.662337662,0.04,0.01,0.1
D9:C0:35:1C:55:5A,55729,-55,0.714285714,0.04,0.01,0.1
D9:C0:35:1C:55:5A,56858,-53,0.688311688,0.03,0.01,0.1
D9:C0:35:1C:55:5A,58026,-52,0.675324675,0.03,0.01,0.1
D9:C0:35:1C:55:5A,59157,-56,0.727272727,0.03,0.01,0.1
D9:C0:35:1C:55:5A,959,-59,0.766233766,0.14,0.24,0.25
D9:C0:35:1C:55:5A,2089,-61,0.792207792,0.15,0.23,0.25
D9:C0:35:1C:55:5A,3233,-60,0.779220779,0.15,0.21,0.25
D9:C0:35:1C:55:5A,4402,-64,0.831168831,0.15,0.23,0.25
D9:C0:35:1C:55:5A,5506,-61,0.792207792,0.14,0.22,0.25
D9:C0:35:1C:55:5A,6619,-65,0.844155844,0.14,0.25,0.25
D9:C0:35:1C:55:5A,7760,-64,0.831168831,0.13,0.26,0.25
D9:C0:35:1C:55:5A,8906,-61,0.792207792,0.13,0.25,0.25
D9:C0:35:1C:55:5A,10009,-64,0.831168831,0.13,0.27,0.25
